2018-03-21 20:35:26 status half-installed libasn1-8-heimdal:amd64 1.7~git20150920+dfsg-4ubuntu1.16.04.1
2018-03-21 20:35:26 status unpacked libasn1-8-heimdal:amd64 1.7~git20150920+dfsg-4ubuntu1.16.04.1
2018-03-21 20:35:26 status unpacked libasn1-8-heimdal:amd64 1.7~git20150920+dfsg-4ubuntu1.16.04.1
2018-03-21 20:35:26 install libhcrypto4-heimdal:amd64 <none> 1.7~git20150920+dfsg-4ubuntu1.16.04.1
2018-03-21 20:35:26 status half-installed libhcrypto4-heimdal:amd64 1.7~git20150920+dfsg-4ubuntu1.16.04.1
2018-03-21 20:35:26 status unpacked libhcrypto4-heimdal:amd64 1.7~git20150920+dfsg-4ubuntu1.16.04.1
2018-03-21 20:35:26 status unpacked libhcrypto4-heimdal:amd64 1.7~git20150920+dfsg-4ubuntu1.16.04.1
2018-03-21 20:35:26 install libheimbase1-heimdal:amd64 <none> 1.7~git20150920+dfsg-4ubuntu1.16.04.1
2018-03-21 20:35:26 status half-installed libheimbase1-heimdal:amd64 1.7~git20150920+dfsg-4ubuntu1.16.04.1
2018-03-21 20:35:26 status unpacked libheimbase1-heimdal:amd64 1.7~git20150920+dfsg-4ubuntu1.16.04.1
2018-03-21 20:35:26 status unpacked libheimbase1-heimdal:amd64 1.7~git20150920+dfsg-4ubuntu1.16.04.1
2018-03-21 20:35:26 install libwind0-heimdal:amd64 <none> 1.7~git20150920+dfsg-4ubuntu1.16.04.1
2018-03-21 20:35:26 status half-installed libwind0-heimdal:amd64 1.7~git20150920+dfsg-4ubuntu1.16.04.1
2018-03-21 20:35:26 status unpacked libwind0-heimdal:amd64 1.7~git20150920+dfsg-4ubuntu1.16.04.1
2018-03-21 20:35:26 status unpacked libwind0-heimdal:amd64 1.7~git20150920+dfsg-4ubuntu1.16.04.1
2018-03-21 20:35:26 install libhx509-5-heimdal:amd64 <none> 1.7~git20150920+dfsg-4ubuntu1.16.04.1
2018-03-21 20:35:26 status half-installed libhx509-5-heimdal:amd64 1.7~git20150920+dfsg-4ubuntu1.16.04.1
2018-03-21 20:35:26 status unpacked libhx509-5-heimdal:amd64 1.7~git20150920+dfsg-4ubuntu1.16.04.1
2018-03-21 20:35:26 status unpacked libhx509-5-heimdal:amd64 1.7~git20150920+dfsg-4ubuntu1.16.04.1
2018-03-21 20:35:26 install libkrb5-26-heimdal:amd64 <none> 1.7~git20150920+dfsg-4ubuntu1.16.04.1
2018-03-21 20:35:26 status half-installed libkrb5-26-heimdal:amd64 1.7~git20150920+dfsg-4ubuntu1.16.04.1
2018-03-21 20:35:26 status unpacked libkrb5-26-heimdal:amd64 1.7~git20150920+dfsg-4ubuntu1.16.04.1
2018-03-21 20:35:26 status unpacked libkrb5-26-heimdal:amd64 1.7~git20150920+dfsg-4ubuntu1.16.04.1
2018-03-21 20:35:26 install libheimntlm0-heimdal:amd64 <none> 1.7~git20150920+dfsg-4ubuntu1.16.04.1
